C1	C2	weight
0	1	42
2	3	5
4	1	2
1	5	15
2	6	2
2	5	8
6	5	9
7	5	16
8	0	3
9	1	4
10	1	1
1	11	5
7	9	3
7	12	3
7	1	27
12	1	4
13	11	2
7	0	7
14	5	5
15	0	4
16	0	1
9	17	3
18	0	23
17	3	1
19	0	1
19	5	1
0	5	19
7	2	11
20	1	12
3	5	7
21	1	8
8	1	5
14	21	1
22	5	3
18	5	11
18	1	8
5	1	16
23	5	1
0	12	1
24	1	8
1	18	1
18	11	1
16	1	3
25	0	9
15	1	22
25	26	2
22	1	33
20	5	4
27	1	1
26	5	4
28	20	1
28	1	1
29	1	7
30	5	1
14	1	1
9	2	4
31	24	2
21	5	8
15	24	1
32	5	3
24	0	5
3	1	8
9	13	4
9	33	1
13	33	1
2	21	3
31	1	8
22	20	1
34	15	1
34	0	7
34	5	7
11	5	1
15	5	1
35	3	1
7	15	2
2	15	1
2	7	5
2	8	2
7	8	7
9	7	3
25	1	1
36	5	2
22	15	1
34	21	1
21	0	2
21	8	1
0	8	1
37	15	1
17	5	4
2	1	4
34	1	6
18	3	1
3	0	2
9	5	13
38	5	2
7	21	2
39	3	1
39	5	2
7	36	2
7	3	6
36	3	1
36	1	1
13	1	3
2	24	1
2	40	1
24	40	2
9	22	1
41	1	1
7	27	2
27	5	2
17	1	2
17	2	1
22	24	2
34	3	2
22	11	5
5	11	1
3	26	3
26	1	5
15	26	1
24	3	2
32	0	1
36	0	1
4	14	2
35	1	2
2	14	1
22	0	3
18	24	1
24	5	1
33	18	1
33	1	1
21	16	1
14	8	1
8	5	3
18	16	1
37	1	3
42	5	1
7	11	1
7	13	1
18	25	1
43	1	1
21	15	1
3	15	2
7	18	2
6	3	1
29	18	1
44	1	1
7	26	3
7	24	3
31	22	1
31	0	1
13	0	2
45	1	1
7	16	1
2	0	2
9	46	1
47	1	1
2	34	1
48	1	1
13	15	1
21	22	1
1	49	1
49	5	1
50	0	1
50	1	1
25	5	2
2	26	2
9	6	1
25	24	1
2	13	1
2	18	1
31	15	2
51	1	1
7	14	1
7	34	2
14	34	1
21	3	1
7	41	1
41	5	1
34	31	1
38	1	2
15	3	1
9	20	1
20	2	1
7	42	2
36	42	1
4	0	1
14	0	1
36	8	1
2	35	1
26	3	1
24	26	1
42	27	1
52	5	1
31	34	1
22	8	1
24	8	1
53	1	1
54	36	1
11	1	1
1	34	1
1	2	1
34	2	1
5	2	1
35	21	1
13	5	1
39	27	1
