file	affiliations	country
paper564.pdf	UC Santa Cruz-UC Santa Cruz-UC Santa Cruz	USA-USA-USA
paper570.pdf		Japan-Japan
paper216.pdf	University of Dundee-University of Dundee-Robert Gordon University-Robert Gordon University-Robert Gordon University-Robert Gordon University	UK-UK-UK-UK-UK-UK
paper558.pdf	University of British Columbia-University of British Columbia-University of British Columbia-University of British Columbia-University of British Columbia-University of British Columbia-University of British Columbia-University of British Columbia-University of British Columbia-University of British Columbia	Germany-Canada-Germany-Germany-Canada-Canada-Canada-Germany-Canada
paper014.pdf	Cheriton School of Computer Science-Cheriton School of Computer Science-University of Waterloo-University of Waterloo-University of Waterloo-University of Waterloo-School of Computer Science-University of St. Andrews-University of St. Andrews-School of Computer Science-University of St. Andrews-University of St. Andrews-Cheriton School of Computer Science-University of Waterloo-University of Waterloo	Canada-Canada-UK-UK-Canada
paper028.pdf	School of Computing, Informatics,-Arizona State University-Arizona State University-School of Computing & Information-University of Pittsburgh-University of Pittsburgh-School of Computing-University of Pittsburgh-University of Pittsburgh	United States-United States-United States
paper612.pdf	Lancaster University-Lancaster University-University of Otago-University of Otago-Lancaster University-Lancaster University	United Kingdom-United Kingdom
paper174.pdf	Visualizing the User’s Center of Pressure-Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland, New Zealand-Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland, New Zealand-Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland, New Zealand-Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland, New Zealand	
paper160.pdf	Emotional Labor They Experience-New Jersey Institute of Technology	
paper606.pdf	Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University	USA-USA-USA-USA-USA-USA
paper148.pdf	University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-Mixed Reality Lab-University of Nottingham-University of Nottingham-Mixed Reality Lab-University of Nottingham-University of Nottingham	UK-UK-UK-UK
paper389.pdf	Aarhus University-Aarhus University-Aarhus University-Aarhus University-Aarhus University-Aarhus University-Aarhus University-Aarhus University-Aarhus University-Aarhus University	
paper376.pdf	Stony Brook University-Stony Brook University-Stony Brook University-Stony Brook University-Stony Brook University-Stony Brook University-Stony Brook University-Stony Brook University-Stony Brook University-Stony Brook University	
paper410.pdf	‡ Department of Industrial Design-Eindhoven University of Technology-Eindhoven University of Technology-§ Department of Applied Cognitive Psychology-Utrecht University-Utrecht University	Netherlands-Netherlands
paper404.pdf	Printer Pals: Experience-Centered Design to Support-School of Applied Psychology-University College Cork-University College Cork-University College Cork-Open Lab-Newcastle University-Newcastle University-Open Lab-Newcastle University-Newcastle University-Open Lab-Newcastle University-Newcastle University-School of Applied Psychology-University College Cork-University College Cork-University College Cork-School of Applied Psychology-University College Cork-University College Cork-University College Cork	Ireland-UK-UK-UK-Ireland-Ireland
paper362.pdf	University of Canterbury-University of Canterbury	
paper438.pdf	University of Toronto-University of Toronto-Escape Character Inc.-University of Toronto-University of Toronto	Canada-Canada-Canada
paper366.pdf	University of Washington-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington	
