file	affiliations	country
paper429.pdf	Disney Research and ETH Zurich	
paper415.pdf	Media Innovation Lab (miLAB)-Interdisciplinary Center-Media Innovation Lab (miLAB)-Interdisciplinary Center-School of Computer Science-Interdisciplinary Center-Media Innovation Lab (miLAB)-Interdisciplinary Center-Media Innovation Lab (miLAB)-Interdisciplinary Center-Media Innovation Lab (miLAB)-Interdisciplinary Center	
paper373.pdf	Stanford University-Stanford University-Google	
paper367.pdf	Indiana University, Bloomington, IN,-Indiana University, Bloomington, IN,-Clemson University, Clemson, SC,-Clemson University, Clemson, SC,-Oberlin College, Oberlin, OH,	USA-USA-USA
paper401.pdf	Chemnitz University of Technology-Chemnitz University of Technology-Simon Fraser University, School of-Simon Fraser University, School of-Simon Fraser University, School of-Chemnitz University of Technology-Chemnitz University of Technology-Chemnitz University of Technology-Chemnitz University of Technology-Chemnitz University of Technology-Chemnitz University of Technology-Bauhaus-Universität Weimar	Germany-Canada-Germany-Germany-Germany-Germany
paper371.pdf	Future University Hakodate-Future University Hakodate-De La Salle University-De La Salle University-Future University Hakodate-Future University Hakodate	Japan-Japan
paper417.pdf	Helsinki Institute for Information Technology HIIT,-Department of Computer Science, University of Helsinki-Department of Computer Science, University of Helsinki-Department of Computer Science, University of Helsinki-Department of Design, Aalto University,-Department of Design, Aalto University,-Department of Design, Aalto University,-Helsinki Institute for Information Technology HIIT,-Department of Computer Science, University of Helsinki-Department of Computer Science, University of Helsinki-Department of Computer Science, University of Helsinki	Finland
paper403.pdf	University-University-Dartmouth College-University-University-National Taiwan University-National Taiwan University-University of Calgary-University of Calgary-Dartmouth College-University, NTUST-University, NTUST-National Taiwan University-National Taiwan University	
paper365.pdf	Research Labs, NTT DOCOMO-Research Labs, NTT DOCOMO-Research Labs, NTT DOCOMO	Japan-Japan-Japan
paper359.pdf	Stanford University, Stanford, CA-Stanford University, Stanford, CA	
paper615.pdf	†Human-Computer Interaction Lab, Dept. of Computer Science & Engineering, Seoul National University, Seoul,-†Human-Computer Interaction Lab, Dept. of Computer Science & Engineering, Seoul National University, Seoul,-†Human-Computer Interaction Lab, Dept. of Computer Science & Engineering, Seoul National University, Seoul,-∥College of Information Studies & HCIL, University of Maryland, College Park, MD,-∥College of Information Studies & HCIL, University of Maryland, College Park, MD,-∥College of Information Studies & HCIL, University of Maryland, College Park, MD,-¶Microsoft Research, Redmond, WA,-‡Institute of Computer Technology, Seoul National University, Seoul,-‡Institute of Computer Technology, Seoul National University, Seoul,-‡Institute of Computer Technology, Seoul National University, Seoul,	Korea-United States-United States-Korea
paper173.pdf	University of South-University of South-University of South-University of South-Swinburne University of Technology-Swinburne University of Technology-University of South-University of South	Australia-Australia-Korea-Australia-Australia-Australia-Korea-Australia-Australia
paper167.pdf	University of Toronto-University of Toronto	
paper601.pdf	School of Computing, National University of Singapore, Singapore-School of Computing, National University of Singapore, Singapore-School of Computing, National University of Singapore, Singapore-Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA,-Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA,-Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA,	United States
paper629.pdf	Universiti Teknologi MARA-School of Computing and Communications-Lancaster University-Lancaster University	United Kingdom
paper198.pdf	Social Computing Systems (SALT) Lab-School of Information Studies, Syracuse University-School of Information Studies, Syracuse University-School of Information Studies, Syracuse University-Social Computing Systems (SALT) Lab-School of Information Studies, Syracuse University-School of Information Studies, Syracuse University-School of Information Studies, Syracuse University-Social Computing Systems (SALT) Lab-School of Information Studies, Syracuse University-School of Information Studies, Syracuse University-School of Information Studies, Syracuse University-Social Computing Systems (SALT) Lab-School of Information Studies, Syracuse University-School of Information Studies, Syracuse University-School of Information Studies, Syracuse University	
paper007.pdf	University-University	
