file	affiliations	country
paper457.pdf	Electronics and Computer Science, University of-Electronics and Computer Science, University of	Germany-Germany-Germany-UK
paper443.pdf	University of Waterloo-University of Waterloo-University of Waterloo-University of Waterloo-University of St Andrews-University of St Andrews	Canada-Canada-UK
paper325.pdf	Monash University-Monash University-Monash University-Monash University-Monash University-Monash University-University of South-University of South-Monash University-Monash University-Monash University-Monash University	Australia-Australia-Australia-Australia-Australia-Australia-Australia
paper455.pdf	Utrecht University-Utrecht University	Germany-Germany-Netherlands
paper333.pdf	University of Michigan-University of Michigan-University of Michigan-University of Michigan	USA-USA
paper327.pdf	Victoria University of Wellington-Victoria University of Wellington-McGill University-McGill University-McGill University-McGill University	
paper441.pdf	University of Strathclyde-University of Strathclyde-University of Strathclyde-University of Strathclyde	
paper469.pdf	School of Information-University of Michigan-University of Michigan-School of Information-University of Michigan-University of Michigan	USA-USA
paper496.pdf	of Thousands of Students across an Entire School Year-Institute of Cognitive Science-University of Colorado Boulder-University of Colorado Boulder-Institute of Cognitive Science-University of Colorado Boulder-University of Colorado Boulder-Institute of Cognitive Science-University of Colorado Boulder-University of Colorado Boulder	USA-USA-USA
paper482.pdf	Engaging High School Students in Cameroon with-Cornell University-Cornell University-Cornell University-Cornell University-Cornell University-Cornell University-Cornell University-Cornell University	
paper131.pdf	Department of Computer Science,-University of Oxford-University of Oxford-Department of Computer Science,-University of Oxford-University of Oxford-Human Centered Design &-University of Washington-University of Washington-Department of Psychology,-University of Toronto-University of Toronto-Department of Informatics,-King’s College London-Department of Computer Science,-University of Oxford-University of Oxford	United Kingdom-United Kingdom-USA-Canada-United Kingdom-United Kingdom
paper657.pdf	Mixed Reality Lab-University of Nottingham,-University of Nottingham,	UK
paper643.pdf	University of Chicago-University of Chicago-University of Chicago-University of Chicago	Japan-United States-United States
paper125.pdf	Zurich University of the Arts-Zurich University of the Arts-Zurich University of the Arts-Zurich University of the Arts	
paper119.pdf	School of Information-University of Michigan-University of Michigan-School of Information-University of Michigan-University of Michigan-Center-University of Michigan-University of Michigan-University of Michigan Medical-University of Michigan Medical-School-School of Information and-Department of EECS-University of Michigan-University of Michigan	
